總機構代號,機構代號,機構名稱,地址,電話,負責人,異動日期,金融機構網址,lat,lng,市鎮鄉村里,area1,area2,area3
004,0040163,臺灣銀行彰化分行,彰化縣彰化市成功路130號,04-7225191,張煥卿,2012-01-10,,24.0784594,120.5418909,台灣彰化縣彰化市光華里,彰化縣,彰化市,光華里
004,0040174,臺灣銀行屏東分行,屏東縣屏東市中山路43號,08-7328141,陳明哲,2012-01-10,,22.672495,120.485704,台灣屏東縣屏東市光榮里,屏東縣,屏東市,光榮里
004,0040185,臺灣銀行花蓮分行,花蓮縣花蓮市公園路3號,03-8322151,周明瑞,2012-01-10,,23.9769415,121.6105533,台灣花蓮縣花蓮市民生里,花蓮縣,花蓮市,民生里
004,0040196,臺灣銀行延平分行,台北市大同區南京西路406號,02-25522859,李銘桐,2011-12-30,,25.0530953,121.5098164,台灣台北市大同區玉泉里,台北市,大同區,玉泉里
004,0040200,臺灣銀行中山分行,台北市中山區中山北路一段150號,02-25423434,連杏芬,2011-12-30,,25.0519042,121.5222668,台灣台北市中山區民安里,台北市,中山區,民安里
004,0040211,臺灣銀行高雄加工出口區分行,高雄市前鎮區高雄加工出口區中一路1號,07-8215141,陳清山,2012-01-09,,22.601327,120.291683,台灣高雄市前鎮區鎮北里,高雄市,前鎮區,鎮北里
004,0040222,臺灣銀行宜蘭分行,宜蘭縣宜蘭市舊城南路50號,03-9355121,呂有用,2012-01-09,,24.7549089,121.751499,台灣宜蘭縣宜蘭市南門里,宜蘭縣,宜蘭市,南門里
004,0040233,臺灣銀行臺東分行,臺東縣臺東市中華路1段373號,089-324201,蘇文勵,2018-04-12,,22.7542029,121.1532053,台灣台東縣台東市中正里,台東縣,台東市,中正里
004,0040244,臺灣銀行澎湖分行,澎湖縣馬公市仁愛路24號,06-9279935,薛流湖,2012-01-10,,23.5654674,119.5663424,台灣澎湖縣馬公市重慶里,澎湖縣,馬公市,重慶里
004,0040255,臺灣銀行鳳山分行,高雄市鳳山區曹公路20號,07-7416131,吳炳松,2012-01-09,,22.6291586,120.3572368,台灣高雄市鳳山區曹公里,高雄市,鳳山區,曹公里
004,0040266,臺灣銀行桃園分行,桃園縣桃園市中正路46號,03-3352801,王粹馨,2012-01-09,,24.9908257,121.3130636,台灣桃園市桃園區武陵里,桃園市,桃園區,武陵里
004,0040277,臺灣銀行板橋分行,新北市板橋區府中路21號,02-29680172,周紹義,2012-01-09,,25.00928,121.459375,台灣新北市板橋區挹秀里,新北市,板橋區,挹秀里
004,0040288,臺灣銀行新營分行,台南市新營區中正路10號,06-6351111,曾金寬,2011-12-30,,23.3089269,120.3163691,台灣台南市新營區大宏里,台南市,新營區,大宏里
004,0040299,臺灣銀行苗栗分行,苗栗縣苗栗市中正路510號,037-326791,許乾義,2012-01-10,,24.5588812,120.8209135,台灣苗栗縣苗栗市中苗里,苗栗縣,苗栗市,中苗里
004,0040303,臺灣銀行豐原分行,台中市豐原區中正路302號,04-25278686,楊英烈,2012-01-09,,24.2511757,120.7142442,台灣台中市豐原區豐西里,台中市,豐原區,豐西里
004,0040314,臺灣銀行斗六分行,雲林縣斗六市文化路27號,05-5324155,荷傳銘,2012-01-10,,23.7112409,120.5442659,台灣雲林縣斗六市信義里,雲林縣,斗六市,信義里
004,0040325,臺灣銀行南投分行,南投縣南投市復興路101號,049-2232121,陳絮美,2012-01-10,,23.9046271,120.687468,台灣南投縣南投市三和里,南投縣,南投市,三和里
004,0040336,臺灣銀行南門分行,台北市中正區南昌路一段120號,02-23512121,吳金泉,2012-01-09,,25.0297952,121.5181348,台灣台北市中正區南福里,台北市,中正區,南福里
004,0040347,臺灣銀行公館分行,台北市中正區羅斯福路四段120號,02-23672581,辜婉芳,2012-01-09,,25.0132032,121.5355969,台灣台北市中正區水源里,台北市,中正區,水源里
004,0040358,臺灣銀行左營分行,高雄市左營區左營大路19號,07-5819141,王美玉,2012-01-09,,22.680016,120.287242,台灣高雄市左營區埤西里,高雄市,左營區,埤西里
004,0040369,臺灣銀行北投分行,台北市北投區中央南路一段152號,02-28951200,鄧淑貞,2012-01-09,,25.129762,121.50088,台灣台北市北投區中央里,台北市,北投區,中央里
004,0040370,臺灣銀行霧峰分行,台中市霧峰區中正路838號,04-23302216,白旭然,2012-01-09,,24.0627792,120.6986264,台灣台中市霧峰區本堂里,台中市,霧峰區,本堂里
004,0040406,臺灣銀行安平分行,台南市中西區中正路240號,06-2292181,劉逸群,2012-01-09,,22.9932847,120.1968765,台灣台南市中西區中正里,台南市,中西區,中正里
004,0040417,臺灣銀行中壢分行,桃園縣中壢市延平路580號,03-4252160,舒致群,2012-01-09,,24.9549145,121.2223407,台灣桃園市中壢區中榮里,桃園市,中壢區,中榮里
004,0040428,臺灣銀行三重分行,新北市三重區重新路四段39號,02-29719621,邱翠芬,2012-01-09,,25.0577999,121.488133,台灣新北市三重區過田里,新北市,三重區,過田里
004,0040439,臺灣銀行頭份分行,苗栗縣頭份鎮中正路六十五號,037-663451,徐美惠,2012-01-10,,24.6851158,120.9080225,台灣苗栗縣頭份市民族里,苗栗縣,頭份市,民族里
004,0040440,臺灣銀行前鎮分行,高雄市前鎮區擴建路1-3號,07-8115171,陳銀雪,2012-01-09,,22.591035,120.30498,台灣高雄市前鎮區鎮北里,高雄市,前鎮區,鎮北里
004,0040451,臺灣銀行城中分行,台北市中正區青島東路47號,02-23218934,顏世餘,2012-01-09,,25.0431384,121.5256314,台灣台北市中正區幸福里,台北市,中正區,幸福里
004,0040462,臺灣銀行民權分行,台北市大同區承德路二段239號,02-25530121,林宜保,2012-01-09,,25.0624719,121.518589,台灣台北市大同區民權里,台北市,大同區,民權里
004,0040473,臺灣銀行潭子分行,台中市潭子區建國路1號,04-25323133,許萌馨,2012-01-09,,24.2175478,120.7051467,台灣台中市潭子區潭秀里,台中市,潭子區,潭秀里
004,0040484,臺灣銀行連城分行,新北市中和區建一路186號,02-82272611,陳材燦,2013-03-15,,24.9967396,121.4879014,台灣新北市中和區平河里,新北市,中和區,平河里
004,0040495,臺灣銀行員林分行,彰化縣員林鎮民生路63號,04-8323191,王翠琴,2012-01-10,,23.9564599,120.5745271,台灣彰化縣員林市民生里,彰化縣,員林市,民生里
004,0040509,臺灣銀行松江分行,台北市中山區松江路115號,02-25069421,施與立,2012-01-09,,25.051675,121.5332634,台灣台北市中山區朱園里,台北市,中山區,朱園里
004,0040510,臺灣銀行鼓山分行,高雄市鼓山區臨海一路23號,07-5218291,邱南雄,2012-01-09,,22.6228148,120.274494,台灣高雄市鼓山區峰南里,高雄市,鼓山區,峰南里
004,0040521,臺灣銀行龍山分行,台北市萬華區康定路380號,02-23088111,莊瓊玲,2012-01-09,,25.0340166,121.5001225,台灣台北市萬華區富福里,台北市,萬華區,富福里
004,0040532,臺灣銀行忠孝分行,台北市大安區敦化南路一段202號,02-27516091,柳進興,2012-01-09,,25.0420545,121.5484852,台灣台北市大安區光武里,台北市,大安區,光武里
004,0040543,臺灣銀行信義分行,台北市大安區信義路二段88號,02-23515486,文建芬,2012-01-09,,25.0339401,121.5267933,台灣台北市大安區光明里,台北市,大安區,光明里
004,0040554,臺灣銀行復興分行,台中市東區復興路四段102號,04-22244181,羅偉功,2012-01-09,,24.1354144,120.685539,台灣台中市東區新庄里,台中市,東區,新庄里
004,0040565,臺灣銀行三民分行,高雄市三民區九如二路567號,07-3127143,陳永清,2012-01-09,,22.6414897,120.296975,台灣高雄市三民區立業里,高雄市,三民區,立業里
004,0040576,臺灣銀行臺中港分行,台中市梧棲區四維路2號,04-26562311,曾金燦,2012-01-09,,24.2593302,120.5365528,台灣台中市梧棲區頂寮里,台中市,梧棲區,頂寮里
004,0040587,臺灣銀行羅東分行,宜蘭縣羅東鎮公正路93號,03-9576866,劉永基,2012-01-09,,24.6780525,121.7712783,台灣宜蘭縣羅東鎮集祥里,宜蘭縣,羅東鎮,集祥里
004,0040598,臺灣銀行埔里分行,南投縣埔里鎮東榮路112號,049-2983991,鄭桐木,2012-01-10,,23.9637429,120.967794,台灣南投縣埔里鎮東門里,南投縣,埔里鎮,東門里
004,0040602,臺灣銀行岡山分行,高雄市岡山區壽天路16號,07-6216141,張簡奉周,2012-01-09,,22.7970581,120.294083,台灣高雄市岡山區岡山里,高雄市,岡山區,岡山里
004,0040613,臺灣銀行新興分行,高雄市新興區民族二路133號,07-2384611,魏秀峰,2011-12-30,,22.6342444,120.3130615,台灣高雄市新興區開平里,高雄市,新興區,開平里
004,0040624,臺灣銀行苓雅分行,高雄市苓雅區青年一路261號,07-3358700,王彩霞,2012-01-09,,22.620407,120.3043715,台灣高雄市苓雅區仁政里,高雄市,苓雅區,仁政里
004,0040646,臺灣銀行松山分行,台北市信義區忠孝東路四段560號,02-27293111,李煥鈴,2011-12-30,,25.0407381,121.5637989,台灣台北市信義區興隆里,台北市,信義區,興隆里
004,0040657,臺灣銀行健行分行,台中市中區臺灣大道一段276一號,04-22242141,王世謙,2013-01-25,,24.1415385,120.6808827,台灣台中市中區光復里,台中市,中區,光復里
004,0040668,臺灣銀行中和分行,新北市中和區中山路二段253號,02-22488980,雷麗青,2012-01-09,,25.0022734,121.4975963,台灣新北市中和區連和里,新北市,中和區,連和里
004,0040679,臺灣銀行太保分行,嘉義縣太保市祥和新村祥和一路東段2號,05-3620016,王素鑾,2012-01-10,,23.4588839,120.293962,台灣嘉義縣太保市安仁里,嘉義縣,太保市,安仁里
004,0040680,臺灣銀行竹北分行,新竹縣竹北市光明六路16號,03-5513111,楊長淇,2011-12-30,,24.8270329,121.0102941,台灣新竹縣竹北市北崙里,新竹縣,竹北市,北崙里
004,0040691,臺灣銀行國際金融業務分行,台北市中正區武昌街1段49號,02-23493456,王育貞,2016-01-27,,25.044282,121.5109,台灣台北市中正區光復里,台北市,中正區,光復里
004,0040705,臺灣銀行士林分行,台北市士林區中山北路六段197號,02-28367080,陳碧玫,2012-01-09,,25.1080036,121.5250094,台灣台北市士林區蘭興里,台北市,士林區,蘭興里
004,0040716,臺灣銀行新莊分行,新北市新莊區新泰路85號,02-22056699,吳妙壽,2012-01-09,,25.0344999,121.449072,台灣新北市新莊區文衡里,新北市,新莊區,文衡里
004,0040727,臺灣銀行大甲分行,台中市大甲區民生路61號,04-26868111,林妙姿,2012-01-09,,24.3476615,120.6246279,台灣台中市大甲區孔門里,台中市,大甲區,孔門里
004,0040738,臺灣銀行新竹科學園區分行,新竹市新竹科學園區工業東六路5號,03-5770050,周春鳳,2012-01-10,,24.7753323,121.0110494,台灣新竹市東區科園里,新竹市,東區,科園里
004,0040749,臺灣銀行樹林分行,新北市樹林區文化街廿七號,02-26866511,陳惠玲,2011-12-30,,24.9876345,121.4191427,台灣新北市樹林區樹南里,新北市,樹林區,樹南里
004,0040750,臺灣銀行新店分行,新北市新店區寶中路45號,02-29180795,蘇素珍,2012-01-09,,24.9794709,121.5450454,台灣新北市新店區寶興里,新北市,新店區,寶興里
004,0040794,臺灣銀行黎明分行,台中市南屯區大業路607號,04-22551178,陳列英,2012-01-09,,24.1535737,120.6334755,台灣台中市南屯區黎明里,台中市,南屯區,黎明里
004,0040808,臺灣銀行民生分行,台北市松山區復興北路167號,02-27192081,陳淑貞,2011-12-30,,25.053975,121.5443208,台灣台北市松山區中正里,台北市,松山區,中正里
004,0040819,臺灣銀行永康分行,台南市永康區小東路513號,06-3125411,張峻源,2012-01-09,,22.9987661,120.236238,台灣台南市永康區中華里,台南市,永康區,中華里
004,0040820,臺灣銀行三多分行,高雄市苓雅區新光路142號,07-3349341,張哲嘉,2012-01-09,,22.610669,120.299392,台灣高雄市苓雅區意誠里,高雄市,苓雅區,意誠里
004,0040853,臺灣銀行臺北世貿中心分行,台北市信義區基隆路一段333號,02-27200315,朱子斌,2012-01-09,,25.0344396,121.5612058,台灣台北市信義區西村里,台北市,信義區,西村里
004,0040864,臺灣銀行大安分行,台北市大安區敦化南路2段69號,02-27553121,李美伶,2011-12-30,,25.0306449,121.549205,台灣台北市大安區義安里,台北市,大安區,義安里
004,0040875,臺灣銀行華江分行,新北市板橋區中山路一段293-2號,02-29610101,劉梅音,2012-01-09,,25.014548,121.4710453,台灣新北市板橋區香丘里,新北市,板橋區,香丘里
004,0040886,臺灣銀行潮州分行,屏東縣潮州鎮新生路13-2號,08-7883384,劉燕勳,2012-01-10,,22.5471599,120.5374613,台灣屏東縣潮州鎮新榮里,屏東縣,潮州鎮,新榮里
004,0040897,臺灣銀行蘇澳分行,宜蘭縣蘇澳鎮中山路1段97號,03-9962566,羅正明,2012-01-09,,24.5963579,121.8354638,台灣宜蘭縣蘇澳鎮聖湖里,宜蘭縣,蘇澳鎮,聖湖里
004,0040901,臺灣銀行大雅分行,台中市大雅區中清路三段1080號,04-25683330,洪麗玉,2014-05-12,,24.2219123,120.6472239,台灣台中市大雅區大雅里,台中市,大雅區,大雅里
004,0040912,臺灣銀行楠梓分行,高雄市楠梓區楠梓路201號,07-3532115,蘇信忠,2011-12-30,,22.732272,120.327978,台灣高雄市楠梓區東寧里,高雄市,楠梓區,東寧里
004,0040923,臺灣銀行臺中工業區分行,台中市西屯區工業區一路196號,04-23597850,蔡正一,2012-01-09,,24.1734082,120.6134279,台灣台中市西屯區福恩里,台中市,西屯區,福恩里
004,0041067,臺灣銀行敦化分行,台北市松山區敦化北路205號,02-25455111,房秀岱,2012-01-09,,25.0576183,121.5499115,台灣台北市松山區精忠里,台北市,松山區,精忠里
004,0041078,臺灣銀行南港分行,台北市南港區南港路二段95號,02-26516706,王淑玲,2011-12-30,,25.0538133,121.5974557,台灣台北市南港區東明里,台北市,南港區,東明里
004,0041089,臺灣銀行和平分行,台北市大安區和平東路一段180號,02-23687027,汪威信,2012-01-09,,25.0262611,121.5295799,台灣台北市大安區龍泉里,台北市,大安區,龍泉里
004,0041090,臺灣銀行水湳分行,台中市北屯區崇德路二段416號,04-22468130,陳清松,2012-01-09,,24.178729,120.686163,台灣台中市北屯區松竹里,台中市,北屯區,松竹里
004,0041104,臺灣銀行中崙分行,台北市松山區南京東路五段184號,02-27698618,林文瑛,2014-12-24,,25.0512741,121.5635262,台灣台北市松山區吉祥里,台北市,松山區,吉祥里
004,0041115,臺灣銀行土城分行,新北市土城區中央路二段338號,02-22703791,林福炎,2012-01-09,,24.972263,121.439935,台灣新北市土城區員仁里,新北市,土城區,員仁里
004,0041159,臺灣銀行桃園國際機場分行,桃園縣大園鄉埔心村航站南路15號,03-3982166,曹金合,2011-12-30,,25.0810999,121.2370209,台灣桃園市大園區三石里,桃園市,大園區,三石里
004,0041160,臺灣銀行大昌分行,高雄市三民區九如一路五四○號,07-3891036,林若容,2012-01-09,,22.6414888,120.3225546,台灣高雄市三民區安發里,高雄市,三民區,安發里
004,0041182,臺灣銀行五甲分行,高雄市鳳山區五甲二路168號,07-7170730,張金樹,2012-01-09,,22.601893,120.341,台灣高雄市鳳山區正義里,高雄市,鳳山區,正義里
004,0041193,臺灣銀行博愛分行,高雄市左營區裕誠路394號,07-5567690,黃麗美,2011-12-30,,22.6656706,120.306342,台灣高雄市左營區新上里,高雄市,左營區,新上里
004,0041207,臺灣銀行中庄分行,高雄市大寮區鳳屏一路339號,07-7038838,楊俊城,2012-01-09,,22.6371143,120.3935183,台灣高雄市大寮區後庄里,高雄市,大寮區,後庄里
004,0041218,臺灣銀行平鎮分行,桃園縣平鎮市環南路二段11號,03-4945688,王櫻芳,2012-01-09,,24.9446868,121.2090436,台灣桃園市平鎮區義民里,桃園市,平鎮區,義民里
004,0041229,臺灣銀行仁愛分行,台北市中正區仁愛路二段99號,02-23975936,鄧昭宗,2012-01-09,,25.0384762,121.5323707,台灣台北市中正區幸市里,台北市,中正區,幸市里
004,0041230,臺灣銀行南崁分行,桃園縣蘆竹鄉南崁路一段81號,03-3529191,曾正雄,2012-01-09,,25.051103,121.288812,台灣桃園市蘆竹區錦中里,桃園市,蘆竹區,錦中里
004,0041241,臺灣銀行圓山分行,台北市中山區林森北路577號,02-25976699,王嬌琪,2012-01-09,,25.0656511,121.5259104,台灣台北市中山區晴光里,台北市,中山區,晴光里
004,0041355,臺灣銀行五股分行,新北市五股區中興路四段42號,02-22936699,呂進忠,2012-01-09,,25.0830346,121.4380761,台灣新北市五股區五股里,新北市,五股區,五股里
004,0041366,臺灣銀行大里分行,台中市大里區國光路二段481號,04-24180211,陳倩瑜,2012-01-09,,24.1109629,120.679133,台灣台中市大里區永隆里,台中市,大里區,永隆里
004,0041377,臺灣銀行安南分行,台南市安南區安和路二段298號,06-3555111,林銘鈺,2011-12-30,,23.0428855,120.216622,台灣台南市安南區新順里,台南市,安南區,新順里
004,0041414,臺灣銀行西屯分行,台中市西屯區青海路二段41號,04-23128528,許地增,2012-01-09,,24.1664581,120.6505506,台灣台中市西屯區何安里,台中市,西屯區,何安里
004,0041425,臺灣銀行天母分行,台北市士林區中山北路七段18號,02-28755222,倪明祥,2012-01-09,,25.1190319,121.5308179,台灣台北市士林區天山里,台北市,士林區,天山里
004,0041436,臺灣銀行鹿港分行,彰化縣鹿港鎮鹿工路2號,04-7810168,許智鈞,2012-01-10,,24.078788,120.413937,台灣彰化縣鹿港鎮海埔里,彰化縣,鹿港鎮,海埔里
004,0041447,臺灣銀行內壢分行,桃園縣中壢市興農路125號,03-4618519,賴碧珠,2012-01-10,,24.9735637,121.2578962,台灣桃園市中壢區中原里,桃園市,中壢區,中原里
004,0041469,臺灣銀行臺南科學園區分行,台南市新市區南科三路15號,06-5051701,林旭榕,2011-12-30,,23.0985836,120.2834062,台灣台南市新市區豐華里,台南市,新市區,豐華里
004,0041470,臺灣銀行虎尾分行,雲林縣虎尾鎮林森路二段369號,05-6337367,陳山架,2011-12-30,,23.7012961,120.42661,台灣雲林縣虎尾鎮西安里,雲林縣,虎尾鎮,西安里
004,0041481,臺灣銀行淡水分行,新北市淡水區中山路93號,02-26281111,李俊儀,2011-12-30,,25.17051,121.4422302,台灣新北市淡水區清文里,新北市,淡水區,清文里
004,0041539,臺灣銀行內湖分行,台北市內湖區內湖路一段396號,02-87977933,王淑芳,2012-01-09,,25.080464,121.573218,台灣台北市內湖區港墘里,台北市,內湖區,港墘里
004,0041540,臺灣銀行嘉北分行,嘉義市忠孝路602號,05-2718911,郭萬祥,2011-12-30,,23.4970511,120.4522659,台灣嘉義市東區義教里,嘉義市,東區,義教里
004,0041551,臺灣銀行東港分行,屏東縣東港鎮新勝街105號,08-8323131,陳順賢,2011-12-30,,22.4672221,120.4528938,台灣屏東縣東港鎮新勝里,屏東縣,東港鎮,新勝里
004,0041562,臺灣銀行汐止分行,新北市汐止區大同路二段一七五號,02-86926822,鍾春娜,2011-12-30,,25.0643019,121.6514809,台灣新北市汐止區智慧里,新北市,汐止區,智慧里
004,0041573,臺灣銀行梧棲分行,台中市梧棲區加工出口區建五路2號,04-26565111,李麗容,2011-12-30,,24.2367455,120.515,台灣台中市梧棲區草湳里,台中市,梧棲區,草湳里
004,0041595,臺灣銀行小港分行,高雄市小港區宏平路410號,07-8010399,陳雪娥,2011-12-30,,22.5700876,120.3579054,台灣高雄市小港區濟南里,高雄市,小港區,濟南里
004,0041609,臺灣銀行中屏分行,屏東市中華路九號,08-7677001,蕭明信,2011-12-30,,22.6716168,120.4895675,台灣屏東縣屏東市端正里,屏東縣,屏東市,端正里
004,0041621,臺灣銀行群賢分行,台北市中正區中山南路一號,02-23411001,梁美玲,2012-01-09,,25.0438581,121.5195278,台灣台北市中正區幸福里,台北市,中正區,幸福里
004,0041643,臺灣銀行北大路分行,新竹市東區民權路267號,03-5354381,章麗婉,2017-03-29,,24.8131642,120.9704671,台灣新竹市東區文華里,新竹市,東區,文華里
004,0041654,臺灣銀行文山分行,台北市文山區羅斯福路六段218號,02-86633456,余秋伶,2011-12-30,,24.9930606,121.5405316,台灣台北市文山區景慶里,台北市,文山區,景慶里
004,0041702,臺灣銀行太平分行,台中市太平區中興東路146號,04-22736666,蔡佳錡,2012-01-09,,24.1308103,120.7216359,台灣台中市太平區成功里,台中市,太平區,成功里
004,0041713,臺灣銀行德芳分行,台中市大里區德芳路一段六三號,04-24853280,李佳玥,2011-12-30,,24.1130205,120.6902669,台灣台中市大里區內新里,台中市,大里區,內新里
004,0041724,臺灣銀行建國分行,桃園市中壢區健行路169號,03-4670081,邱明珠,2018-04-26,,24.9486766,121.2278362,台灣桃園市中壢區健行里,桃園市,中壢區,健行里
004,0041768,臺灣銀行屏東農科園區分行,屏東縣長治鄉德和村農科路23號,08-7626611,李錦成,2014-06-24,,22.7127719,120.537136,台灣屏東縣長治鄉德和村,屏東縣,長治鄉,德和村
004,0041861,臺灣銀行東桃園分行,桃園縣桃園市經國路298號,03-3263888,石哲宇,2011-12-30,,25.022603,121.303153,台灣桃園市桃園區自強里,桃園市,桃園區,自強里
004,0041872,臺灣銀行蘆洲分行,新北市蘆洲區三民路五十號,02-82868686,孫淑美,2011-12-30,,25.0834132,121.4756517,台灣新北市蘆洲區仁德里,新北市,蘆洲區,仁德里
004,0041919,臺灣銀行高雄國際機場分行,高雄市小港區中山四路二號,07-8017564,洪登貴,2011-12-30,,22.5707416,120.3449778,台灣高雄市小港區山東里,高雄市,小港區,山東里
004,0041931,臺灣銀行永吉簡易型分行,台北市松山區松仁路三號,02-27209856,連杏芬,2011-12-30,,25.0394677,121.5691926,台灣台北市信義區興雅里,台北市,信義區,興雅里
004,0041942,臺灣銀行東門簡易型分行,臺北市中正區東門里15鄰紹興南街21號,02-23943168,文建芬,2016-09-08,,25.0372992,121.5235944,台灣台北市中正區東門里,台北市,中正區,東門里
004,0041953,臺灣銀行愛國簡易型分行,台北市大安區愛國東路31號,02-23960017,文建芬,2011-12-30,,25.0321975,121.5247736,台灣台北市大安區光明里,台北市,大安區,光明里
004,0041986,臺灣銀行臺電簡易型分行,台北市中正區羅斯福路3段242號,02-23667506,辜婉芳,2011-12-30,,25.0175108,121.5310058,台灣台北市中正區文盛里,台北市,中正區,文盛里
004,0042053,臺灣銀行北府簡易型分行,新北市板橋區中山路一段161號,02-89535968,周紹義,2011-12-30,,25.0122763,121.4655369,台灣新北市板橋區福丘里,新北市,板橋區,福丘里
004,0042189,臺灣銀行臺北港分行,新北市八里區商港路123號,02-2619-6269,詹勳興,2011-12-30,,25.1510826,121.3906892,台灣新北市八里區訊塘里,新北市,八里區,訊塘里
004,0042204,臺灣銀行臺中科學園區分行,台中市大雅區中科路6號,04-25658111,周麗珠,2011-12-30,,24.2097656,120.6185631,台灣台中市大雅區橫山里,台中市,大雅區,橫山里
004,0042215,臺灣銀行高雄科學園區分行,高雄市路竹區路科5路23號,07-6955268,郭建祥,2015-03-18,,22.831206,120.2557108,台灣高雄市路竹區後鄉里,高雄市,路竹區,後鄉里
004,0042237,臺灣銀行東湖分行,台北市內湖區成功路5段458號,02-26305768,蔡梅雀,2011-12-30,,25.0741973,121.6066834,台灣台北市內湖區金湖里,台北市,內湖區,金湖里
004,0042248,臺灣銀行高榮分行,高雄市左營區重信路415號,07-3432258,郭正坪,2011-12-30,,22.6829225,120.3113007,台灣高雄市左營區福山里,高雄市,左營區,福山里
004,0042259,臺灣銀行南港軟體園區分行,台北市南港區三重路66號,02-27833009,金培芳,2012-01-13,,25.0571105,121.614302,台灣台北市南港區三重里,台北市,南港區,三重里
004,0042260,臺灣銀行龍潭分行,桃園市龍潭區東龍路142號,03-4790888,官瑞璋,2018-04-26,,24.8626679,121.215133,台灣桃園市龍潭區龍星里,桃園市,龍潭區,龍星里
004,0042271,臺灣銀行仁德分行,台南市仁德區中正路2段899號,06-2492389,王振亞,2011-12-30,,22.9653019,120.253241,台灣台南市仁德區仁德里,台南市,仁德區,仁德里
004,0042282,臺灣銀行林口分行,桃園縣龜山鄉大華村復興ㄧ路368號,03-3277299,何詩雄,2011-12-30,,25.055024,121.3614884,台灣桃園市龜山區大華里,桃園市,龜山區,大華里
004,0042293,臺灣銀行木柵分行,台北市文山區新光路一段145號,02-86615115,黃麗清,2011-12-30,,24.992024,121.57389,台灣台北市文山區萬興里,台北市,文山區,萬興里
004,0042307,臺南創新園區分行,臺南市安南區科技公園大道18號,06-3842585,劉永泰,2016-07-28,,23.043664,120.1452896,台灣台南市安南區顯宮里,台南市,安南區,顯宮里
004,0042363,臺灣銀行武昌分行,台北市中正區武昌街1段49號,02-23493456,胡宜謙,2011-12-30,,25.044282,121.5109,台灣台北市中正區光復里,台北市,中正區,光復里
004,0042385,臺灣銀行臺北分行,台北市中山區松江路80號,02-25435790,陳雪玉,2011-12-30,,25.0500167,121.5327754,台灣台北市中山區興亞里,台北市,中山區,興亞里
004,0042396,臺灣銀行金山分行,台北市大安區金山南路2段189號,02-23413006,王麗娟,2011-12-30,,25.028286,121.526371,台灣台北市大安區錦安里,台北市,大安區,錦安里
004,0042400,臺灣銀行信安分行,台北市大安區信義路3段132號,02-27057905,劉威震,2015-07-17,,25.033273,121.5392232,台灣台北市大安區龍圖里,台北市,大安區,龍圖里
004,0042411,臺灣銀行劍潭分行,台北市士林區承德路4段174號,02-28831633,王啟明,2011-12-30,,25.0865759,121.5226402,台灣台北市士林區前港里,台北市,士林區,前港里
004,0042422,臺灣銀行萬華分行,台北市萬華區貴陽街2段26號,02-23830066,許淑惠,2011-12-30,,25.0393607,121.5056423,台灣台北市萬華區仁德里,台北市,萬華區,仁德里
004,0042433,臺灣銀行板新分行,新北市板橋區文化路1段268號,02-22540560,李堂安,2011-12-30,,25.0187829,121.4652441,台灣新北市板橋區新民里,新北市,板橋區,新民里
