郵遞區號,電腦局號,郵務局號,局名,電腦局名,郵務電話,儲匯電話,郵務傳真,縣市,鄉鎮市區,地址,經度,緯度,平常日提供服務,平常日延時提供服務,週六提供服務,週日提供服務,週一至週五 郵務,週一至週五 儲匯,週六,週日,提供郵務業務延時服務郵局 週一至週五,提供郵務及儲匯業務延時服務郵局 週一至週五,營業時間備註
10343,000110-1,100010,臺北迪化街郵局,臺北10支,(02)2556-0519,(02)2556-0631,(02)2556-0833,臺北市,大同區,迪化街1段38號,121.509905,25.054775,○,,,,08:30-17:30 ,08:30-17:00 ,,,,,
10356,000111-4,100011,臺北圓環郵局,臺北11支,(02)2556-1703,(02)2559-2168,(02)2555-1442,臺北市,大同區,重慶北路2段15號,121.514422,25.054902000000002,○,,,,08:30-17:30 ,08:30-17:00 ,,,,,
10051,000112-8,100012,行政院郵局,臺北12支,(02)2321-4874,(02)2321-4874,(02)2356-3100,臺北市,中正區,北平東路2號(行政院內),121.52137,25.04676,○,,,,08:30-17:00 ,08:30-17:00 ,,,,,
10091,000113-1,100013,臺北公館郵局,臺北13支,(02)2365-9518,(02)2368-8574,(02)2365-7254,臺北市,中正區,羅斯福路4段74號(B1),121.534722,25.014166,○,,○,,08:30-18:00 ,08:30-17:30 ,09:00-12:00 ,,,,
10048,000114-5,100014,國史館郵局,臺北14支,(02)2331-0962,(02)2311-7879,(02)2389-6842,臺北市,中正區,博愛路168號之1,121.51082050000001,25.039500500000013,○,,,,08:30-17:30 ,08:30-17:00 ,,,,,
10048,000115-9,100015,總統府郵局,臺北15支,(02)2311-0859,(02)2311-0859,(02)2361-1823,臺北市,中正區,重慶南路1段122號(總統府內),121.51167,25.03964,○,,,,08:30-17:30 ,08:30-17:00 ,,,,,
10449,000117-6,100017,臺北雙連郵局,臺北17支,(02)2541-4332,(02)2523-6846,(02)2567-1443,臺北市,中山區,中山北路2段96號,121.52246,25.05958,○,,,,08:30-17:30 ,08:30-17:00 ,,,,,
10566,000118-0,100018,臺北松山郵局,臺北18支,(02)2767-4928,(02)8787-9193,(02)2763-7471,臺北市,松山區,八德路4段626號,121.573705,25.049805000000003,○,,,,08:30-17:30 ,08:30-17:00 ,,,,,
10048,000120-5,100020,臺北法院郵局,臺北20支,(02)2331-4925,(02)2311-3025,(02)2311-6804,臺北市,中正區,博愛路127號(司法大廈內),121.51129999999999,25.03806,○,,,,08:30-17:30 ,08:30-17:00 ,,,,,
10357,000121-9,100021,臺北臺北橋郵局,臺北21支,(02)2557-8538,(02)2550-2821,(02)2557-5104,臺北市,大同區,民權西路246號,121.51279000000001,25.062775,○,○,,,08:30-17:30 ,08:30-17:00 ,,,○,,
10610,000122-2,100022,臺北師大郵局,臺北22支,(02)2363-5053,(02)2363-5053,(02)2363-3752,臺北市,大安區,和平東路1段162號,121.525891,25.026429,○,,,,08:30-17:00 ,08:30-17:00 ,,,,,
10617,000123-6,100023,臺大郵局,臺北23支,(02)2363-3435,(02)2363-3435,(02)2362-2821,臺北市,大安區,羅斯福路4段1號(台灣大學內),121.53365,25.017169999999997,○,,,,08:30-17:30 ,08:30-17:00 ,,,,,
10651,000124-0,100024,臺北仁愛路郵局,臺北24支,(02)2771-1497,(02)2752-4551,(02)2773-1354,臺北市,大安區,仁愛路3段47號,121.53564999999999,25.03865,○,,,,08:30-17:30 ,08:30-17:00 ,,,,,
10051,000125-3,100025,立法院郵局,臺北25支,(02)2391-7844,(02)2321-9814,(02)2356-3110,臺北市,中正區,濟南路1段1號,121.51986,25.04362,○,,,,08:30-17:30 ,08:30-17:00 ,,,,,
10682,000126-7,100026,臺北信維郵局,臺北26支,(02)2707-7130,(02)2708-3670,(02)2703-4674,臺北市,大安區,信義路4段74號,121.54669000000001,25.03292,○,,○,,08:30-18:00 ,08:30-17:30 ,09:00-12:00 ,,,,
10479,000127-1,100027,臺北建北郵局,臺北27支,(02)2502-0944,(02)2504-1943,(02)2506-3004,臺北市,中山區,建國北路2段33號,121.5372,25.054959999999998,○,,,,08:30-17:30 ,08:30-17:00 ,,,,,
11163,000128-4,100028,士林郵局,臺北28支,(02)2881-8743,(02)2881-2535,(02)2883-1974,臺北市,士林區,文林路162號,121.52708,25.089260000000003,○,,○,,08:30-17:30 ,08:30-17:00 ,09:00-12:00 ,,,,
11670,000129-8,100029,文山景美郵局,臺北29支,(02)2931-2010,(02)2932-3411,(02)2935-4274,臺北市,文山區,羅斯福路6段389號,121.540915,24.992375,○,,○,,08:30-17:30 ,08:30-17:00 ,09:00-12:00 ,,,,
10084,000130-0,100030,臺北古亭郵局,臺北30支,(02)2367-2165,(02)2368-2923,(02)2365-9046,臺北市,中正區,南昌路2段232號,121.52443000000002,25.023799999999998,○,,,,08:30-18:00 ,08:30-17:30 ,,,,,
10869,000131-3,100031,臺北東園郵局,臺北31支,(02)2309-9202,(02)2303-8013,(02)2332-0286,臺北市,萬華區,東園街148、150號,121.497505,25.023325,○,,,,08:30-17:30 ,08:30-17:00 ,,,,,
10666,000132-7,100032,臺北光華郵局,臺北32支,(02)2741-0600,(02)2731-5570,(02)2773-0174,臺北市,大安區,新生北路1段7之2號,121.53332,25.04502,○,,,,08:30-17:30 ,08:30-17:00 ,,,,,
10047,000133-1,100033,臺北南陽郵局,臺北33支,(02)2361-3711,(02)2375-4227,(02)2389-6432,臺北市,中正區,信陽街8號,121.51587,25.04452,○,○,,,08:30-18:00 ,08:30-17:30 ,,,,○,
10488,000134-4,100034,臺北中崙郵局,臺北34支,(02)2771-1401,(02)2772-5405,(02)2752-7004,臺北市,中山區,復興北路40號,121.54365,25.049375,○,,○,,08:30-18:00 ,08:30-17:30 ,09:00-12:00 ,,,,
10862,000135-8,100035,臺北莒光郵局,臺北35支,(02)2302-4644,(02)2302-4649,(02)2308-6791,臺北市,萬華區,莒光路210號,121.501,25.031570000000002,○,,○,,08:30-17:30 ,08:30-17:00 ,09:00-12:00 ,,,,
10555,000136-1,100036,臺北光復郵局,臺北36支,(02)2570-1157,(02)2578-6944,(02)2577-8387,臺北市,松山區,八德路3段240號,121.557505,25.047995,○,,○,,08:30-18:00 ,08:30-17:30 ,09:00-12:00 ,,,,
10465,000137-5,100037,臺北大直郵局,臺北37支,(02)2533-4543,(02)2533-4543,(02)2533-9087,臺北市,中山區,北安路518巷14弄18、20號,121.545655,25.07916,○,,,,08:30-17:00 ,08:30-17:00 ,,,,,
10044,000139-2,100039,臺北重南郵局,臺北39支,(02)2331-3075,(02)2331-3075,,臺北市,中正區,忠孝西路1段120號1樓,121.51184600000002,25.047672000000006,○,,,,,08:30-17:00 ,,,,,郵務無營業<br>
11165,000142-1,100042,士林社子郵局,臺北42支,(02)2812-2884,(02)2812-1072,(02)2816-1284,臺北市,士林區,延平北路5段150號,121.51037000000001,25.08256,○,,,,08:30-17:30 ,08:30-17:00 ,,,,,
10692,000143-5,100043,臺北三張犁郵局,臺北43支,(02)2709-6837,(02)2701-5196,(02)2703-4745,臺北市,大安區,信義路4段337號,121.55642999999999,25.033525,○,○,○,,08:30-18:00 ,08:30-17:30 ,09:00-12:00 ,,,○,
10670,000144-9,100044,臺北成功郵局,臺北44支,(02)2704-3862,(02)2708-1087,(02)2708-5084,臺北市,大安區,四維路198巷38弄12號,121.54574000000001,25.0264,○,,○,,08:30-18:00 ,08:30-17:30 ,09:00-12:00 ,,,,
10548,000145-2,100045,松山機場郵局,臺北45支,(02)2713-3365,(02)2713-3365,(02)2716-5254,臺北市,松山區,敦化北路340-9號(松山機場內 ),121.552282,25.062204,○,,○,,08:30-17:00 ,08:30-17:00 ,09:00-12:00 ,,,,
10455,000146-6,100046,臺北長安郵局,臺北46支,(02)2506-8771,(02)2515-0399,(02)2506-0544,臺北市,中山區,長安東路2段97號,121.53511499999999,25.048505000000002,○,○,,,08:30-18:00 ,08:30-17:00 ,,,○,,
10364,000147-0,100047,臺北大同郵局,臺北47支,(02)2597-4508,(02)2594-1868,(02)2591-0819,臺北市,大同區,承德路3段83號,121.51865,25.065820000000002,○,,○,,08:30-17:30 ,08:30-17:00 ,09:00-12:00 ,,,,
10569,000148-3,100048,臺北西松郵局,臺北48支,(02)2769-7535,(02)2768-2358,(02)2746-5444,臺北市,松山區,南京東路5段311號,121.56671999999999,25.05172,○,,,,08:30-17:30 ,08:30-17:00 ,,,,,
11008,000149-7,100049,臺北市府郵局,臺北49支,(02)2720-0690,(02)2720-9930,(02)2720-0691,臺北市,信義區,市府路1號地下2樓(台北市政府內),121.56403999999999,25.037280000000003,○,,,,08:30-17:30 ,08:30-17:00 ,,,,,
10371,000150-9,100050,臺北大龍峒郵局,臺北50支,(02)2597-5098,(02)2586-0105,(02)2591-0824,臺北市,大同區,重慶北路3段338號,121.51368,25.07619,○,,,,08:30-17:00 ,08:30-17:00 ,,,,,
11086,000151-2,100051,臺北松德郵局,臺北51支,(02)2727-3686,(02)2726-3738,(02)2728-1154,臺北市,信義區,松德路300號,121.57414499999999,25.031875000000003,○,,,,08:30-17:30 ,08:30-17:00 ,,,,,
11151,000152-6,100052,士林天母郵局,臺北52支,(02)2871-8271,(02)2873-5072,(02)2875-3034,臺北市,士林區,中山北路7段130號,121.53204,25.1224,○,,○,,08:30-17:00 ,08:30-17:00 ,09:00-12:00 ,,,,
10691,000153-0,100053,臺北光武郵局,臺北53支,(02)2781-6693,(02)2721-1634,(02)2773-1424,臺北市,大安區,大安路1段52巷16號,121.5455,25.04297,○,○,○,,08:30-18:00 ,08:30-17:30 ,09:00-12:00 ,,,○,
11050,000154-3,100054,臺北吳興郵局,臺北54支,(02)2720-0060,(02)2722-3543,(02)2720-5084,臺北市,信義區,莊敬路418號之1,121.56647000000001,25.027060000000002,○,,○,,08:30-17:30 ,08:30-17:00 ,09:00-12:00 ,,,,
10468,000155-7,100055,臺北松江路郵局,臺北55支,(02)2521-6681,(02)2561-8954,(02)2581-5557,臺北市,中山區,松江路364號,121.5328,25.06213,○,,○,,08:30-18:00 ,08:30-17:30 ,09:00-12:00 ,,,,
10572,000156-1,100056,臺北延壽郵局,臺北56支,(02)2756-7232,(02)2768-3079,(02)2763-2541,臺北市,松山區,民生東路5段12號,121.556,25.0582,○,○,,,08:30-17:30 ,08:30-17:00 ,,,○,,
10674,000157-4,100057,臺北六張犁郵局,臺北57支,(02)2733-5532,(02)2733-0262,(02)2733-5294,臺北市,大安區,和平東路3段208號,121.553845,25.02281,○,,,,08:30-17:30 ,08:30-17:00 ,,,,,
10066,000158-8,100058,臺北小南門郵局,臺北58支,(02)2375-9856,(02)2375-9856,(02)2388-5053,臺北市,中正區,廣州街15號,121.50822,25.03588,○,,,,08:30-17:00 ,08:30-17:00 ,,,,,
11143,000159-1,100059,故宮郵局,臺北59支,(02)2881-8410,(02)2881-8410,(02)2883-3454,臺北市,士林區,至善路2段221號(故宮博物院內),121.549722,25.100277,○,○,○,○,08:30-18:30 ,08:30-17:00 ,08:30-20:30 ,08:30-18:30 ,○,,郵務業務：週一至週五：17:00-18:30未收寄各類掛號郵件，僅販售各類代售商品及集郵票品。週六、日：全日未收寄各類掛號郵件，僅販售代售商品及集郵票品。儲匯業務：週六、日：08:30-17:00，僅辦理外幣兌換。<br>
10359,000161-7,100061,臺北保安郵局,臺北61支,(02)2553-9692,(02)2553-9692,(02)2557-3420,臺北市,大同區,重慶北路2段183號,121.51381499999998,25.060575000000004,○,,,,08:30-17:00 ,08:30-17:00 ,,,,,
10041,000164-8,100064,臺北火車站郵局,臺北64支,(02)2311-4239,(02)2311-4239,(02)2389-6753,臺北市,中正區,北平西路3號(台北火車站內),121.51750999999999,25.047659999999997,○,○,○,,08:30-18:30 ,08:30-17:00 ,09:00-12:00 ,,○,,
10460,000165-1,100065,臺北圓山郵局,臺北65支,(02)2592-1606,(02)2592-1606,(02)2591-0780,臺北市,中山區,林森北路573號,121.52595,25.065080000000002,○,○,,,08:30-17:30 ,08:30-17:00 ,,,○,,
10459,000167-9,100067,臺北長春路郵局,臺北67支,(02)2521-6967,(02)2537-3821,(02)2567-1446,臺北市,中山區,長春路129號之2,121.530895,25.05501,○,,○,,08:30-18:00 ,08:30-17:30 ,09:00-12:00 ,,,,
10449,000168-2,100068,臺北民權郵局,臺北68支,(02)2571-6241,(02)2563-8027,(02)2567-1444,臺北市,中山區,民權西路22號,121.52156,25.062655,○,○,○,,08:30-18:00 ,08:30-17:00 ,09:00-12:00 ,,○,,
10849,000170-8,100070,臺北老松郵局,臺北70支,(02)2389-4549,(02)2389-4549,(02)2361-1513,臺北市,萬華區,桂林路51號,121.50407,25.03833,○,,,,08:30-17:00 ,08:30-17:00 ,,,,,
10091,000171-1,100071,臺北汀州郵局,臺北71支,(02)2363-7009,(02)2363-7009,(02)2363-4308,臺北市,中正區,汀州路3段301號,121.536,25.011805000000003,○,○,,,08:30-17:30 ,08:30-17:00 ,,,○,,
10070,000172-5,100072,臺北龍口郵局,臺北72支,(02)2309-9158,(02)2303-4060,(02)2307-8062,臺北市,中正區,和平西路2段68號,121.51173499999999,25.0288,○,,,,08:30-17:00 ,08:30-17:00 ,,,,,
11162,000173-9,100073,士林中正路郵局,臺北73支,(02)8866-6045,(02)8866-6047,(02)8866-6049,臺北市,士林區,中正路420號,121.51965,25.09349,○,,,,08:30-17:30 ,08:30-17:00 ,,,,,
10872,000174-2,100074,臺北萬大路郵局,臺北74支,(02)2301-2793,(02)2309-7442,(02)2301-9934,臺北市,萬華區,萬大路524號,121.49707499999998,25.019334999999995,○,,,,08:30-17:00 ,08:30-17:00 ,,,,,
11689,000175-6,100075,文山興隆路郵局,臺北75支,(02)2935-7813,(02)2931-8476,(02)2935-4594,臺北市,文山區,興隆路2段171號,121.54867,25.000709999999998,○,,,,08:30-17:00 ,08:30-17:00 ,,,,,
11169,000177-3,100077,士林後港郵局,臺北77支,(02)2883-7486,(02)2881-3600,(02)2883-4194,臺北市,士林區,福港街149巷2號,121.51803,25.087439999999997,○,,,,08:30-17:30 ,08:30-17:00 ,,,,,
11066,000178-7,100078,臺北永吉郵局,臺北78支,(02)2768-4410,(02)2762-0461,(02)2763-2543,臺北市,信義區,永吉路168號1樓,121.57079999999999,25.04552,○,,,,08:30-17:30 ,08:30-17:00 ,,,,,
10857,000179-1,100079,臺北華江橋郵局,臺北79支,(02)2302-0953,(02)2306-4473,(02)2306-6756,臺北市,萬華區,和平西路3段310號,121.49291,25.035345,○,○,,,08:30-17:30 ,08:30-17:00 ,,,○,,
11071,000180-2,100080,臺北逸仙郵局,臺北80支,(02)2729-0135,(02)2720-8917,(02)2720-5134,臺北市,信義區,逸仙路46號,121.5617,25.040570000000002,○,,,,08:30-17:30 ,08:30-17:00 ,,,,,
10595,000181-6,100081,臺北體育場郵局,臺北81支,(02)2752-5760,(02)2781-9214,(02)2773-1572,臺北市,松山區,儲匯：南京東路3段346號  郵務：南京東路3段346號後棟,121.54782,25.05158,○,,,,08:30-18:00 ,08:30-17:30 ,,,,,
10655,000182-0,100082,臺北正義郵局,臺北82支,(02)2778-2422,(02)2752-8005,(02)2773-1420,臺北市,大安區,忠孝東路3段150、152、154號,121.5382,25.04151,○,,○,,08:30-17:30 ,08:30-17:00 ,09:00-12:00 ,,,,
11148,000183-3,100083,士林蘭雅郵局,臺北83支,(02)2832-6924,(02)2832-6924,(02)2833-5824,臺北市,士林區,忠誠路1段52號,121.52693000000001,25.10472,○,,,,08:30-17:30 ,08:30-17:00 ,,,,,
10053,000184-7,100084,臺北杭南郵局,臺北84支,(02)2393-8719,(02)2393-8719,(02)2356-3092,臺北市,中正區,杭州南路1段23號之3,121.526535,25.04223,○,,,,08:30-17:30 ,08:30-17:00 ,,,,,
11102,000186-4,100086,東吳大學郵局,臺北86支,(02)2881-5624,(02)2881-5624,(02)2883-4184,臺北市,士林區,臨溪路70號(東吳大學內),121.54534000000001,25.09468,○,,,,08:30-17:00 ,08:30-17:00 ,,,,,配合東吳大學107年春假學術交流週作息，於107年3月31日(星期六)停止營業，並於4月2日（星期一）及4月3日（星期二）停止營業。<br>
10589,000187-8,100087,臺北民生郵局,臺北87支,(02)2766-2575,(02)2764-4790,(02)2767-2085,臺北市,松山區,民生東路5段191號,121.565365,25.059265,○,,○,,08:30-18:00 ,08:30-17:30 ,09:00-12:00 ,,,,
10607,000190-7,100090,臺灣科大郵局,臺北90支,(02)2733-1071,(02)2733-1071,(02)2733-5274,臺北市,大安區,基隆路4段43號(台灣科技大學內),121.54087999999999,25.01418,○,,,,08:30-17:00 ,08:30-17:00 ,,,,,配合國立臺灣科技大學校際活動週期間作息，於107年4月2日（星期一）及4月3日（星期二）停止營業。<br>
10603,000191-1,100091,臺北金南郵局,臺北91支,(02)2394-0804,(02)2394-0804,(02)2396-0176,臺北市,大安區,愛國東路216號,121.524995,25.031769999999998,○,○,○,,08:30-17:30 ,08:30-17:30 ,09:00-12:00 ,,○,,大宗郵件受理至21：00時<br>
10048,000192-4,100092,臺北中正堂郵局,臺北92支,(02)2394-2715,(02)2394-2715,(02)2356-3081,臺北市,中正區,中山南路21號(中正紀念堂內),121.52214000000001,25.03466,○,,○,,09:00-17:00 ,09:00-17:00 ,09:00-12:00 ,,,,
11681,000193-8,100093,文山武功郵局,臺北93支,(02)2935-6135,(02)2931-4860,(02)2935-0004,臺北市,文山區,羅斯福路5段147號,121.53897699999999,25.0042335,○,,○,,08:30-17:00 ,08:30-17:00 ,09:00-12:00 ,,,,
10881,000195-5,100095,臺北青年郵局,臺北95支,(02)2309-8054,(02)2309-8054,(02)2307-8306,臺北市,萬華區,國興路34、36、38號,121.5078245,25.024929000000004,○,,○,,08:30-17:00 ,08:30-17:00 ,09:00-12:00 ,,,,
10680,000196-9,100096,臺北安和郵局,臺北96支,(02)2704-9228,(02)2708-5519,(02)2708-5074,臺北市,大安區,安和路2段61、63號,121.55257,25.031119999999998,○,,,,08:30-18:00 ,08:30-17:30 ,,,,,
11677,000197-2,100097,文山萬盛郵局,臺北97支,(02)2932-0183,(02)2932-0183,(02)2935-0044,臺北市,文山區,汀州路4段88號(師大分部內),121.53721600000002,25.008183999999993,○,,,,08:30-17:00 ,08:30-17:00 ,,,,,配合臺灣師範大學107年校際活動日作息，於107<br>年4月2日（星期一）及4月3日（星期二）停止營業。<br>
11061,000199-0,100099,臺北永春郵局,臺北99支,(02)8788-1850,(02)8788-1850-31,(02)2720-5054,臺北市,信義區,忠孝東路5段464、466號,121.57656089999998,25.040625400000007,○,,○,,08:30-17:30 ,08:30-17:00 ,09:00-12:00 ,,,,
10051,000200-1,100100,監察院郵局,臺北100支,(02)2392-5345,(02)2392-5345,(02)2356-8823,臺北市,中正區,忠孝東路1段2號(監察院東側，面向鎮江街),121.52028,25.04505,○,,,,08:30-17:00 ,08:30-17:00 ,,,,,
10543,000201-5,100101,臺北榮星郵局,臺北101支,(02)2712-7615,(02)2715-4680,(02)2718-1975,臺北市,松山區,民權東路3段124之1、2號,121.54573,25.0618895,○,○,○,,08:30-18:00 ,08:30-17:30 ,09:00-12:00 ,,,○,
10466,000204-6,100104,臺北北安郵局,臺北104支,(02)2532-9100,(02)2532-0537,(02)2532-3064,臺北市,中山區,北安路630巷10號,121.549815,25.082700000000003,○,,,,08:30-17:00 ,08:30-17:00 ,,,,,
11154,000205-0,100105,士林芝山郵局,臺北105支,(02)2836-3191,(02)2836-3191,(02)2833-5804,臺北市,士林區,士東路286巷36號,121.53765700000001,25.111253,○,,,,08:30-17:00 ,08:30-17:00 ,,,,,
11154,000206-3,100106,士林法院郵局,臺北106支,(02)2836-6049,(02)2836-6049,(02)2833-5814,臺北市,士林區,士東路190號,121.533095,25.112386,○,,,,08:30-17:00 ,08:30-17:00 ,,,,,
10042,000207-7,100107,臺北中山堂郵局,臺北107支,(02)2314-8490,(02)2314-8490,(02)2311-3438,臺北市,中正區,中華路1段53號,121.50888599999999,25.043493,○,,,,08:30-17:00 ,08:30-17:00 ,,,,,
10688,000208-1,100108,臺北敦南郵局,臺北108支,(02)2771-5334,(02)2771-5334,(02)2740-3124,臺北市,大安區,忠孝東路4段170巷9號,121.550885,25.04062,○,○,,,08:30-18:00 ,08:30-17:30 ,,,,○,
11011,000209-4,100109,臺北世貿郵局,臺北109支,(02)2725-2479,(02)2725-2479,(02)2720-5034,臺北市,信義區,信義路5段5號(世貿中心內),121.56177699999999,25.033206000000007,○,,,,08:30-17:00 ,08:30-17:00 ,,,,,配合第26屆臺北國際書展，該局儲匯營業時間調整如下：本(107)年2月6日至8日：08:30-20:00;2月9日：08:30-22:00；2月10日：10:30-22:00;2月11日：10:30-20:00。(郵務營業時間則維持不變)<br>
10065,000210-6,100110,臺北南門郵局,臺北110支,(02)2331-6433,(02)2331-6433,(02)2389-6711,臺北市,中正區,廣州街2號,121.51013450000002,25.034982499999998,○,,,,08:30-17:00 ,08:30-17:00 ,,,,,
11698,000211-0,100111,文山萬芳郵局,臺北111支,(02)2230-5857,(02)2230-5857,(02)2239-0004,臺北市,文山區,興隆路3段178、180號,121.5585495,24.998058499999996,○,,,,08:30-17:00 ,08:30-17:00 ,,,,,
10480,000212-3,100112,臺北興安郵局,臺北112支,(02)2504-3662,(02)2504-3662,(02)2508-3144,臺北市,中山區,復興北路210、212號,121.5438655,25.056402500000004,○,○,,,08:30-18:00 ,08:30-17:00 ,,,○,,
10002,000215-4,100115,臺大醫院郵局,臺北115支,(02)2397-3983,(02)2397-3983,(02)2395-2381,臺北市,中正區,中山南路7號(台大醫院內),121.51859,25.04083,○,,,,08:30-17:00 ,08:30-17:00 ,,,,,
11144,000216-8,100116,士林外雙溪郵局,臺北116支,(02)2841-1174,(02)2841-1174,(02)2841-3304,臺北市,士林區,明溪街15號,121.5651755,25.106932999999994,○,,,,08:30-12:30 13:30-17:00,08:30-12:30 13:30-17:00,,,,,
10658,000217-1,100117,臺北大安郵局,臺北117支,(02)2704-4318,(02)2705-3234,(02)2702-4063,臺北市,大安區,信義路3段89號,121.53829939999999,25.033747399999996,○,,○,,08:30-17:30 ,08:30-17:00 ,09:00-12:00 ,,,,
10574,000218-5,100118,臺北臺塑郵局,臺北118支,(02)2719-3473,(02)2719-3473,(02)2546-5684,臺北市,松山區,民生東路4段54之2號,121.551388,25.057777,○,○,,,08:30-18:00 ,08:30-17:00 ,,,○,,
10055,000220-1,100120,臺北中聯郵局,臺北120支,(02)2356-6485,(02)2356-6485,(02)2356-0108,臺北市,中正區,徐州路5號地下一樓(中央聯合辦公大樓內),121.51977250000002,25.042218499999997,○,,,,08:30-17:00 ,08:30-17:00 ,,,,,
10476,000221-4,100121,臺北龍江路郵局,臺北121支,(02)2501-6754,(02)2501-6754,(02)2502-5034,臺北市,中山區,龍江路335號,121.541111,25.063333,○,,,,08:30-17:00 ,08:30-17:00 ,,,,,
10462,000222-8,100122,國防部郵局,臺北122支,(02)8509-9866,(02)8509-9866,(02)8509-9868,臺北市,中山區,北安路409號,121.54089499999999,25.083102,○,,,,09:00-17:00 ,09:00-17:00 ,,,,,配合國防部於本(106)年9月3日軍人節次日補假1日，擬於9月4日(星期一)停止營業1天。<br>
11166,000223-1,100123,士林劍潭郵局,臺北123支,(02)2885-9559,(02)2885-6043,(02)2885-6816,臺北市,士林區,基河路14號,121.523912,25.081770000000006,○,○,,,08:30-17:30 ,08:30-17:00 ,,,○,,
11291,000224-5,100124,陽明山郵局,臺北124支,(02)2861-6151,(02)2861-6171,(02)2861-5454,臺北市,北投區,紗帽路139之1號,121.545773,25.15132,○,,,,08:30-17:00 ,08:30-17:00 ,,,,,
11114,000225-9,100125,文化大學郵局,臺北125支,(02)2861-5880,(02)2861-5880,(02)2861-7044,臺北市,士林區,華岡路55號,121.540555,25.137499,○,,,,08:30-17:00 ,08:30-17:00 ,,,,,為配合文化大學寒假期間作息，該局於107年2月9日(星期五)至2月14日(星期三)停止營業。<br>
11172,000226-2,100126,士林社新里郵局,臺北126支,(02)2811-9944,(02)2812-1099,(02)2812-5514,臺北市,士林區,延平北路6段197號,121.505725,25.08941,○,,,,08:30-17:00 ,08:30-17:00 ,,,,,
11058,000228-0,100128,臺北信義郵局,臺北128支,(02)2725-3080,(02)2725-3080,(02)8780-2739,臺北市,信義區,松廉路76號(信義投遞中心),121.567045,25.033894999999998,○,,,,08:30-17:00 ,08:30-17:00 ,,,,,
11142,000229-3,100129,士林名山里郵局,臺北129支,(02)2838-6703,(02)2838-6703,(02)2833-3554,臺北市,士林區,至誠路2段70號,121.52814500000001,25.101685,○,,,,08:30-17:00 ,08:30-17:00 ,,,,,
11246,000231-9,100131,北投郵局,臺北131支,(02)2893-2922,(02)2891-2420,(02)2895-7222,臺北市,北投區,光明路181號,121.503033,25.135815500000003,○,,○,,08:30-18:00 ,08:30-17:30 ,09:00-12:00 ,,,,統一發票兌領時間為08:30至17:30<br>
